date,regime,actual_y1y,q10,q50,q74,interval_width,actual_in_band
2024-07-30,Easing,4.099559042933918,3.5167983286478233,4.827588610395538,5.282408354880809,1.7656100262329861,1
2024-07-31,Easing,4.085973670192524,3.516772263744812,4.827631437576242,5.2831985514690505,1.7664262877242383,1
2024-08-01,Easing,4.096975144738718,3.517209487134708,4.827830829696243,5.284363485888454,1.767153998753746,1
2024-08-02,Easing,4.093581192331046,3.518244009278442,4.828095866757159,5.2862524453914865,1.7680084361130444,1
2024-08-05,Easing,4.106817898070201,3.520089702797689,4.826272727716274,5.288346413693955,1.7682567108962663,1
2024-08-06,Easing,4.133693771829808,3.5198989112180756,4.825204856538385,5.291354145532271,1.7714552343141952,1
2024-08-07,Easing,4.134656722407278,3.5176425857756417,4.824436073540497,5.293610646495937,1.7759680607202952,1
2024-08-08,Easing,4.13012692623063,3.515052594470425,4.821907690187851,5.293778795836571,1.7787262013661462,1
2024-08-09,Easing,4.082981252601001,3.512350796140173,4.8199622128479875,5.29365628201636,1.781305485876187,1
2024-08-12,Easing,4.1280455569302665,3.5106505219619657,4.819850756865417,5.294670443697137,1.784019921735171,1
2024-08-13,Easing,4.152086150026854,3.509855059736753,4.8201726628056285,5.2958990923239,1.7860440325871472,1
2024-08-14,Easing,4.163827689479499,3.5095432462674037,4.819631530846156,5.296764938563303,1.7872216922958994,1
2024-08-15,Easing,4.134212837292959,3.5092123009837235,4.820444896237073,5.298443097066229,1.7892307960825051,1
2024-08-16,Easing,4.124006019472675,3.5081285451343023,4.820919154607004,5.298768513431089,1.7906399682967864,1
2024-08-19,Easing,4.163999910862001,3.5081322310801824,4.8213254862599975,5.298930695049821,1.7907984639696384,1
2024-08-20,Easing,4.089194993717735,3.508535754393458,4.822096199991442,5.299377572107499,1.7908418177140408,1
2024-08-21,Easing,4.112508918067352,3.5093506117148507,4.8226524267769015,5.300059998659049,1.7907093869441981,1
2024-08-22,Easing,4.081280511522263,3.5099630052946758,4.822240829486936,5.300565499808346,1.7906024945136698,1
2024-08-23,Easing,4.0602160103272364,3.5092354697863994,4.8216363343625686,5.300428944289543,1.7911934745031433,1
